,id,brand,categories,colors,prices.amountMin,prices.amountMax,prices.isSale,prices.currency,gender
2152,AVpfBrX81cnluZ0-cR5-,Nike,"Clothing,Shoes,Men's Shoes,Men's Athletic Shoes",Not Available,58.0,58.0,false,USD,Men
2153,AVpfBrX81cnluZ0-cR5-,Nike,"Clothing,Shoes,Men's Shoes,Men's Athletic Shoes",Not Available,46.2,46.2,true,USD,Men
2157,AVpfShpOLJeJML436XbC,MUK LUKS,"Men's Slippers,Shoes,Men's Shoes,Clothing",Not Available,26.0,26.0,false,USD,Men
2158,AVpe52svLJeJML43x8KV,Nike,"Clothing, Shoes & Accessories,Men's Shoes,Athletic",Not Available,259.95,259.95,false,USD,Men
2159,AVpe52svLJeJML43x8KV,Nike,"Clothing, Shoes & Accessories,Men's Shoes,Athletic",Not Available,198.88,198.88,false,USD,Men
2169,AVpe571kilAPnD_xQicG,New Balance,"Men's Footwear,Footwear,Men's Athletic Shoes,Road Running",Not Available,109.99,109.99,false,USD,Men
2172,AVpfBsuP1cnluZ0-cSXT,Nike,"Men's Soccer Cleats & Shoes,Team Sports,Men's Cleats,Soccer,Soccer Cleats & Shoes,Cleats,Athletic & Running Shoes",Not Available,170.0,170.0,false,USD,Men
2188,AVpfHbYVLJeJML432uLu,Nike,"All Men's Shoes,Shoes,Men's Shoes,Clothing",BlackMetallic SilverWhite,80.36,80.36,true,USD,Men
2189,AVpfHbYVLJeJML432uLu,Nike,"All Men's Shoes,Shoes,Men's Shoes,Clothing",BlackMetallic SilverWhite,110.0,110.0,false,USD,Men
2190,AVpfFE0T1cnluZ0-dc4_,Nike,"Clothing, Shoes & Accessories,Men's Shoes,Athletic",Not Available,24.95,24.95,false,USD,Men
2194,AVpfG_wpLJeJML432lEu,Jordan,"All Men's Shoes,Shoes,Men's Shoes,Clothing",Not Available,74.95,74.95,false,USD,Men
2200,AVpfGwXrilAPnD_xVDsh,Nike,"All Men's Shoes,Shoes,Men's Shoes,Clothing",Wolf GreyRacer BlueBlkWht,57.19,57.19,false,USD,Men
2222,AVpfGfbXilAPnD_xU-IW,Nike,"Clothing, Shoes & Accessories,Men's Shoes,Athletic",Blue,99.99,99.99,false,USD,Men
2223,AVpfGfbXilAPnD_xU-IW,Nike,"Clothing, Shoes & Accessories,Men's Shoes,Athletic",Blue,89.99,89.99,true,USD,Men
2229,AVpfSYH_LJeJML436UTn,Nike,"Clothing,Shoes,Men's Shoes,All Men's Shoes",BLACKWHITE-BLACK,294.95,294.95,false,USD,Men
2232,AVpfGewcilAPnD_xU97I,Nike,"Athletic & Running Shoes,Men's Shoes",Not Available,99.99,99.99,false,USD,Men
2248,AVpfCMzsilAPnD_xTgXS,PUMA,"Men's Casual Shoes,Shoes,Men's Shoes,Clothing",White,86.98,86.98,true,USD,Men
2249,AVpfCMzsilAPnD_xTgXS,PUMA,"Men's Casual Shoes,Shoes,Men's Shoes,Clothing",White,100.0,100.0,false,USD,Men
2264,AVpfU06DLJeJML437HaF,Nike,"Sporting Goods,Team Sports,Soccer,Clothing, Shoes & Accessories,Shoes & Cleats,Men",Blue,55.29,55.29,true,USD,Men
2265,AVpfU06DLJeJML437HaF,Nike,"Sporting Goods,Team Sports,Soccer,Clothing, Shoes & Accessories,Shoes & Cleats,Men",Blue,69.99,69.99,false,USD,Men
2266,AVpfU06DLJeJML437HaF,Nike,"Sporting Goods,Team Sports,Soccer,Clothing, Shoes & Accessories,Shoes & Cleats,Men",Blue,60.71,60.71,false,USD,Men
2267,AVpfU06DLJeJML437HaF,Nike,"Sporting Goods,Team Sports,Soccer,Clothing, Shoes & Accessories,Shoes & Cleats,Men",Blue,55.0,55.0,false,USD,Men
2268,AVpfCDALilAPnD_xTc7o,Superior Glove Works,"Workwear & Uniforms,Men's Workwear & Uniforms,Men's Coveralls,Clothing, Shoes & Jewelry,Clothing,Men's Clothing",Not Available,276.91,276.91,false,USD,Men
2269,AVpfCMlo1cnluZ0-cdpf,TOMS,"Clothing,Shoes,Men's Shoes,All Men's Shoes",Not Available,45.14,45.14,false,USD,Men
2270,AVpfCK4z1cnluZ0-cdCx,Reebok,"Football,Clothing, Shoes & Accessories,Team Sports,Men,Shoes & Cleats,Sporting Goods",Not Available,24.99,24.99,false,USD,Men
2272,AVpfIsl3ilAPnD_xVtkC,Nike,"Sporting Goods,Team Sports,Football,Clothing, Shoes & Accessories,Shoes & Cleats,Men",Not Available,49.95,49.95,false,USD,Men
2273,AVpe7G2zilAPnD_xQ-I-,Superior Glove Works,"Men's Work Gloves,Power Tools,Safety Apparel,Women's Workwear & Uniforms,Safety & Shop Gear,Workwear & Uniforms,Hand Tools,Clothing,Tools,Men's Clothing,Office Supplies,Women's Clothing,Women's Work Gloves,Gloves,Women's Workwear Accessories,Clothing, Shoes & Jewelry,Men's Workwear & Uniforms,Men's Workwear Accessories,Office Safety & Security",Not Available,202.24,202.24,false,USD,Men
2274,AVpe7G2zilAPnD_xQ-I-,Superior Glove Works,"Men's Work Gloves,Power Tools,Safety Apparel,Women's Workwear & Uniforms,Safety & Shop Gear,Workwear & Uniforms,Hand Tools,Clothing,Tools,Men's Clothing,Office Supplies,Women's Clothing,Women's Work Gloves,Gloves,Women's Workwear Accessories,Clothing, Shoes & Jewelry,Men's Workwear & Uniforms,Men's Workwear Accessories,Office Safety & Security",Not Available,184.04,184.04,true,USD,Men
2276,AVpfFRsiLJeJML432AAe,adidas,"Sporting Goods,Team Sports,Soccer,Clothing, Shoes & Accessories,Shoes & Cleats,Men",Not Available,36.95,36.95,false,USD,Men
2277,AVpfB-wPLJeJML4303TT,Nike,"All Men's Shoes,Shoes,Men's Shoes,Clothing",BlackMetallic Gold-Black,79.99,79.99,false,USD,Men
2278,AVpfUo6jLJeJML437DsS,VANS,"Clothing,Shoes,Men's Shoes,All Men's Shoes","Amber GoldTrue White,ChestnutTrue White",49.96,49.96,false,USD,Men
2290,AVpfCJDxLJeJML43067z,adidas,"Clothing,Shoes,Men's Shoes,All Men's Shoes",Not Available,39.99,39.99,false,USD,Men
2308,AVpfFPLjLJeJML431_JC,Nike,"All Men's Shoes,Shoes,Men's Shoes,Clothing",KHAKIWHITE-PINE GREEN-BAROQUE BROWN,77.0,77.0,false,USD,Men
2327,AVpfAr5FilAPnD_xS95p,PUMA,"Outlet,Shoes Outlet,Men's Shoes",Not Available,185.0,185.0,false,USD,Men
2329,AVpfD-aMLJeJML431iv_,Nike,"Clothing, Shoes & Accessories,Men's Shoes,Athletic",White,46.18,46.18,true,USD,Men
2348,AVpe_bWNilAPnD_xShRX,Nike,"All Men's Shoes,Shoes,Men's Shoes,Clothing",Black,57.99,57.99,true,USD,Men
2349,AVpe_bWNilAPnD_xShRX,Nike,"All Men's Shoes,Shoes,Men's Shoes,Clothing",Black,42.99,42.99,true,USD,Men
