,id,brand,categories,colors,prices.amountMin,prices.amountMax,prices.isSale,prices.currency
14163,AVpfMyUgilAPnD_xXD5f,Lorus,"Watches,Clothing, Shoes & Jewelry,Men,Wrist Watches,Wristwatches,Watches Outlet,Amazon Watch Warranty,Watches: Amazon Global Delivery Available",,31.74,31.74,false,EUR
14164,AVpfMyUgilAPnD_xXD5f,Lorus,"Watches,Clothing, Shoes & Jewelry,Men,Wrist Watches,Wristwatches,Watches Outlet,Amazon Watch Warranty,Watches: Amazon Global Delivery Available",,44.99,44.99,false,EUR
14165,AVpfMyUgilAPnD_xXD5f,Lorus,"Watches,Clothing, Shoes & Jewelry,Men,Wrist Watches,Wristwatches,Watches Outlet,Amazon Watch Warranty,Watches: Amazon Global Delivery Available",,44.99,44.99,false,EUR
14166,AVpfMyUgilAPnD_xXD5f,Lorus,"Watches,Clothing, Shoes & Jewelry,Men,Wrist Watches,Wristwatches,Watches Outlet,Amazon Watch Warranty,Watches: Amazon Global Delivery Available",,31.95,31.95,false,EUR
14167,AVpfrDS01cnluZ0-pI7Y,Tourbon,"Clothing, Shoes & Accessories,Bags & Backpacks,See more Tourbon Women Men Canvas Messenger Bag Foldabl...,Unisex Clothing, Shoes & Accs,Unisex Accessories",Blue,51.05,51.05,true,USD
14168,AVpfrDS01cnluZ0-pI7Y,Tourbon,"Clothing, Shoes & Accessories,Bags & Backpacks,See more Tourbon Women Men Canvas Messenger Bag Foldabl...,Unisex Clothing, Shoes & Accs,Unisex Accessories",Blue,43.77,43.77,false,USD
14169,AVpfrDS01cnluZ0-pI7Y,Tourbon,"Clothing, Shoes & Accessories,Bags & Backpacks,See more Tourbon Women Men Canvas Messenger Bag Foldabl...,Unisex Clothing, Shoes & Accs,Unisex Accessories",Blue,56.72,56.72,false,USD
14170,AVpfrDS01cnluZ0-pI7Y,Tourbon,"Clothing, Shoes & Accessories,Bags & Backpacks,See more Tourbon Women Men Canvas Messenger Bag Foldabl...,Unisex Clothing, Shoes & Accs,Unisex Accessories",Blue,53.88,53.88,true,USD
14171,AVpf0dtcilAPnD_xi3U5,Sperry Top Sider,"Clothing,Shoes,Men's Shoes,All Men's Shoes",,50.00,50.00,false,USD
14172,AVpf0dtcilAPnD_xi3U5,Sperry Top Sider,"Clothing,Shoes,Men's Shoes,All Men's Shoes",,49.99,49.99,true,USD
14173,AVpfriSN1cnluZ0-pSUI,Go Athletic Apparel,"Active,Men,Active Base Layers,Clothing, Shoes & Jewelry,Clothing",,29.99,29.99,true,USD
14174,AVpfriSN1cnluZ0-pSUI,Go Athletic Apparel,"Active,Men,Active Base Layers,Clothing, Shoes & Jewelry,Clothing",,49.95,49.95,false,USD
14175,AVpf0eq1ilAPnD_xi3od,Outdoor Cap,"Hats,Clothing, Shoes & Accessories,Men's Accessories",One Size,5.49,5.49,false,USD
14176,AVpf0d-q1cnluZ0-r4Op,National Safety Apparel Inc,"Men's Work Gloves,Power Tools,Medical Gloves & Masks,Safety Apparel,Women's Workwear & Uniforms,Safety & Shop Gear,Workwear & Uniforms,Health & Wellness,First Aid,Hand Tools,Clothing,Tools,Men's Clothing,Office Supplies,Women's Clothing,Women's Work Gloves,Gloves,Women's Workwear Accessories,Clothing, Shoes & Jewelry,Men's Workwear Accessories,Men's Workwear & Uniforms,Office Safety & Security",,34.68,34.68,false,USD
14177,AVpf0d-q1cnluZ0-r4Op,National Safety Apparel Inc,"Men's Work Gloves,Power Tools,Medical Gloves & Masks,Safety Apparel,Women's Workwear & Uniforms,Safety & Shop Gear,Workwear & Uniforms,Health & Wellness,First Aid,Hand Tools,Clothing,Tools,Men's Clothing,Office Supplies,Women's Clothing,Women's Work Gloves,Gloves,Women's Workwear Accessories,Clothing, Shoes & Jewelry,Men's Workwear Accessories,Men's Workwear & Uniforms,Office Safety & Security",,43.30,43.30,false,USD
14178,AVpf0d-q1cnluZ0-r4Op,National Safety Apparel Inc,"Men's Work Gloves,Power Tools,Medical Gloves & Masks,Safety Apparel,Women's Workwear & Uniforms,Safety & Shop Gear,Workwear & Uniforms,Health & Wellness,First Aid,Hand Tools,Clothing,Tools,Men's Clothing,Office Supplies,Women's Clothing,Women's Work Gloves,Gloves,Women's Workwear Accessories,Clothing, Shoes & Jewelry,Men's Workwear Accessories,Men's Workwear & Uniforms,Office Safety & Security",,34.28,34.28,true,USD
14179,AVpf0d-q1cnluZ0-r4Op,National Safety Apparel Inc,"Men's Work Gloves,Power Tools,Medical Gloves & Masks,Safety Apparel,Women's Workwear & Uniforms,Safety & Shop Gear,Workwear & Uniforms,Health & Wellness,First Aid,Hand Tools,Clothing,Tools,Men's Clothing,Office Supplies,Women's Clothing,Women's Work Gloves,Gloves,Women's Workwear Accessories,Clothing, Shoes & Jewelry,Men's Workwear Accessories,Men's Workwear & Uniforms,Office Safety & Security",,49.69,49.69,false,USD
14180,AVpf0d-q1cnluZ0-r4Op,National Safety Apparel Inc,"Men's Work Gloves,Power Tools,Medical Gloves & Masks,Safety Apparel,Women's Workwear & Uniforms,Safety & Shop Gear,Workwear & Uniforms,Health & Wellness,First Aid,Hand Tools,Clothing,Tools,Men's Clothing,Office Supplies,Women's Clothing,Women's Work Gloves,Gloves,Women's Workwear Accessories,Clothing, Shoes & Jewelry,Men's Workwear Accessories,Men's Workwear & Uniforms,Office Safety & Security",,33.95,33.95,true,USD
14181,AVpf0d-q1cnluZ0-r4Op,National Safety Apparel Inc,"Men's Work Gloves,Power Tools,Medical Gloves & Masks,Safety Apparel,Women's Workwear & Uniforms,Safety & Shop Gear,Workwear & Uniforms,Health & Wellness,First Aid,Hand Tools,Clothing,Tools,Men's Clothing,Office Supplies,Women's Clothing,Women's Work Gloves,Gloves,Women's Workwear Accessories,Clothing, Shoes & Jewelry,Men's Workwear Accessories,Men's Workwear & Uniforms,Office Safety & Security",,33.12,33.12,true,USD
14182,AVpfmnjnLJeJML43ASP4,Reebok,"All Men's Shoes,Shoes,Men's Shoes,Clothing",GravelGreyWhite,59.99,59.99,false,USD
14183,AVpfmni_1cnluZ0-n0t-,Nike,"Clothing, Shoes & Accessories,Team Sports,Men,Soccer,Sporting Goods,Clothing",Gray,17.99,17.99,false,USD
14184,AVpfmni_1cnluZ0-n0t-,Nike,"Clothing, Shoes & Accessories,Team Sports,Men,Soccer,Sporting Goods,Clothing",Gray,18.99,18.99,true,USD
14185,AVpf0pWbLJeJML43EYaI,Nike,"Athletic,Clothing, Shoes & Accessories,Men's Shoes",Blue,88.00,88.00,false,USD
14186,AVpf0pWbLJeJML43EYaI,Nike,"Athletic,Clothing, Shoes & Accessories,Men's Shoes",Blue,85.00,85.00,false,USD
14187,AVpf4j1tilAPnD_xj9y5,Vuarnet,"Clothing, Shoes & Accessories,Men's Accessories,Sunglasses & Fashion Eyewear,Sunglasses",,99.99,99.99,false,USD
14188,AVpf4kGB1cnluZ0-s-xR,,"Athletic,Men,Shoes,Shoes & Handbags","Green,Brown",196.29,196.29,false,CAD
14189,AVpfpGxp1cnluZ0-oj-3,Armitron,"Watches,Clothing, Shoes & Jewelry,Men,Wrist Watches,jewelry",,38.5,38.5,false,USD
14190,AVpf00Mc1cnluZ0-r-mG,Superior Glove Works,"Men's Work Gloves,Power Tools,Safety Apparel,Women's Workwear & Uniforms,Safety & Shop Gear,Workwear & Uniforms,Hand Tools,Clothing,Tools,Men's Clothing,Office Supplies,Women's Clothing,Women's Work Gloves,Gloves,Women's Workwear Accessories,Clothing, Shoes & Jewelry,Men's Workwear Accessories,Men's Workwear & Uniforms,Office Safety & Security",,125.34,125.34,false,USD
14191,AVpf00Mc1cnluZ0-r-mG,Superior Glove Works,"Men's Work Gloves,Power Tools,Safety Apparel,Women's Workwear & Uniforms,Safety & Shop Gear,Workwear & Uniforms,Hand Tools,Clothing,Tools,Men's Clothing,Office Supplies,Women's Clothing,Women's Work Gloves,Gloves,Women's Workwear Accessories,Clothing, Shoes & Jewelry,Men's Workwear Accessories,Men's Workwear & Uniforms,Office Safety & Security",,111.54,111.54,false,USD
14192,AVpfrGvLilAPnD_xgKCS,ASICS,"Outlet,Shoes Outlet,Men's Shoes",,74.99,74.99,false,USD
14193,AVpf02671cnluZ0-r_YS,2Bhip,"All Men's Clothing,Men's Clothing,Men's Outerwear,Clothing, Shoes & Jewelry,Clothing",,37.95,37.95,true,USD
14194,AVpf02671cnluZ0-r_YS,2Bhip,"All Men's Clothing,Men's Clothing,Men's Outerwear,Clothing, Shoes & Jewelry,Clothing",,56.95,56.95,false,USD
14195,AVpfmYAhilAPnD_xewZM,Carhartt,"Men's Work Gloves,Power Tools,Safety Apparel,Women's Workwear & Uniforms,Safety & Shop Gear,Workwear & Uniforms,Hand Tools,Clothing,Tools,Men's Clothing,Office Supplies,Women's Clothing,Women's Work Gloves,Gloves,Women's Workwear Accessories,Clothing, Shoes & Jewelry,Men's Workwear & Uniforms,Men's Workwear Accessories,Office Safety & Security",,34.49,34.49,false,USD
14196,AVpfmdSV1cnluZ0-nxfH,TOMS,"Clothing,Shoes,Men's Shoes,Men's Casual Shoes",,41.99,41.99,true,USD
14197,AVpfmdSV1cnluZ0-nxfH,TOMS,"Clothing,Shoes,Men's Shoes,Men's Casual Shoes",,59.00,59.00,false,USD
14198,AVpf03LZilAPnD_xi-nF,Propet,"Men's Boots,Shoes,Men's Shoes,Clothing",,99.95,99.95,false,USD
14199,AVpf4-fvLJeJML43FiZo,Acacia,"Clothing,Shoes,Men's Shoes,All Men's Shoes",Multicolor,22.52,22.52,false,USD
14200,AVpfrMua1cnluZ0-pLyE,Reebok,"All Men's Shoes,Shoes,Men's Shoes,Clothing",WHITE RED,47.95,47.95,false,USD
14201,AVpfkGK_LJeJML43_gzw,Saucony,"Clothing, Shoes & Accessories,Men's Shoes,Athletic",GreyBlackblue,39.85,39.85,false,USD
14202,AVpf0s6a1cnluZ0-r8j2,Nike,"All Men's Shoes,Shoes,Men's Shoes,Clothing",BLACKCHALLENGE REDMETALLIC SILVERBLACK,110.00,110.00,false,USD
14203,AVpfrN4-1cnluZ0-pMI8,Nike,"Clothing,Shoes,Men's Shoes,All Men's Shoes",WhiteUniversity BluePure Platinum,180.00,180.00,false,USD
14204,AVpfrN4-1cnluZ0-pMI8,Nike,"Clothing,Shoes,Men's Shoes,All Men's Shoes",WhiteUniversity BluePure Platinum,180.00,180.00,true,USD
14205,AVpf5DUrLJeJML43Fjj9,VANS,"Clothing, Shoes & Accessories,Men's Shoes,Casual",Black,42.49,42.49,true,USD
14206,AVpfrnLsilAPnD_xgT1Y,Northside,"Clothing,Shoes,Men's Shoes,Men's Dress Shoes",,45.00,45.00,false,USD
14207,AVpfrnLsilAPnD_xgT1Y,Northside,"Clothing,Shoes,Men's Shoes,Men's Dress Shoes",,35.99,35.99,true,USD
14208,AVpf4opmilAPnD_xj_BI,Jewelry Adviser Gifts,"Men's Jewelry,Men's Rings,Clothing, Shoes & Jewelry,Jewelry,Fashion Jewelry,Fashion Rings",,292.70,292.70,false,USD
14209,AVpf4opmilAPnD_xj_BI,Jewelry Adviser Gifts,"Men's Jewelry,Men's Rings,Clothing, Shoes & Jewelry,Jewelry,Fashion Jewelry,Fashion Rings",,117.08,117.08,true,USD
14210,AVpf0TETilAPnD_xi0O5,,"Athletic,Men,Shoes,Shoes & Handbags",Yellow,140.20,140.20,false,CAD
14211,AVpfbDS71cnluZ0-kfzI,adidas,"Clothing,Shoes,Men's Shoes,Men's Casual Shoes",,1149.00,1149.00,false,USD
