,id,brand,categories,colors,prices.amountMin,prices.amountMax,prices.isSale,prices.currency
4416,AVpfAtfq1cnluZ0-b7s1,Rupert Sanderson,"Women's Sandals,Shoes,Clothing, Shoes & Jewelry,Women's Shoes",Beige,595,595,FALSE,USD
4417,AVpfP_NV1cnluZ0-hFWP,Easy Spirit,"Women's Dress Shoes,Shoes,Clothing,Women's Shoes",Dark Brown,69,69,FALSE,USD
4418,AVpfP_NV1cnluZ0-hFWP,Easy Spirit,"Women's Dress Shoes,Shoes,Clothing,Women's Shoes",Dark Brown,38.04,38.04,TRUE,USD
4419,AVpfP9IXLJeJML435ihW,Karen Scott,"Clothing, Shoes & Accessories,Heels,Women's Shoes",Ivory,2.99,2.99,FALSE,USD
4420,AVpfAuDU1cnluZ0-b75O,Liz Claiborne,"Clothing,Shoes,Women's Shoes,All Women's Shoes",,80,80,FALSE,USD
4421,AVpfAuDU1cnluZ0-b75O,Liz Claiborne,"Clothing,Shoes,Women's Shoes,All Women's Shoes",,22.99,22.99,TRUE,USD
4422,AVpfAn7Y1cnluZ0-b5uI,Me Too,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Simba Suede,45.39,45.39,FALSE,USD
4423,AVpfCZdAilAPnD_xTkpF,Bucco Capensis,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Brown,70,70,FALSE,USD
4424,AVpfCZdAilAPnD_xTkpF,Bucco Capensis,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Brown,6.99,6.99,TRUE,USD
4425,AVpfCZdAilAPnD_xTkpF,Bucco Capensis,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Brown,18.98,18.98,TRUE,USD
4426,AVpfP_WILJeJML435jR3,SKECHERS,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Black,74.85,74.85,FALSE,USD
4427,AVpfQ15jilAPnD_xYY4N,Berlei,"Sports Bras,All Bras,Lingerie, Sleep & Lounge,Women,Clothing, Shoes & Jewelry,Lingerie,Clothing,Intimates & Sleepwear,Bras","Hyper Melon,Ink Shadow",35,35,FALSE,USD
4428,AVpfQ15jilAPnD_xYY4N,Berlei,"Sports Bras,All Bras,Lingerie, Sleep & Lounge,Women,Clothing, Shoes & Jewelry,Lingerie,Clothing,Intimates & Sleepwear,Bras","Hyper Melon,Ink Shadow",35,35,FALSE,USD
4429,AVpfQ15jilAPnD_xYY4N,Berlei,"Sports Bras,All Bras,Lingerie, Sleep & Lounge,Women,Clothing, Shoes & Jewelry,Lingerie,Clothing,Intimates & Sleepwear,Bras","Hyper Melon,Ink Shadow",19.95,19.95,TRUE,USD
4430,AVpfQ15jilAPnD_xYY4N,Berlei,"Sports Bras,All Bras,Lingerie, Sleep & Lounge,Women,Clothing, Shoes & Jewelry,Lingerie,Clothing,Intimates & Sleepwear,Bras","Hyper Melon,Ink Shadow",27.95,27.95,TRUE,USD
4431,AVpfQBApilAPnD_xYHVS,Alpine Swiss,"Clothing,Shoes,Women's Shoes,All Women's Shoes",,26.5,26.5,FALSE,USD
4432,AVpfQBApilAPnD_xYHVS,Alpine Swiss,"Clothing,Shoes,Women's Shoes,All Women's Shoes",,4.99,4.99,TRUE,USD
4433,AVpfFx-j1cnluZ0-dstu,Excell,"Women's Clothing,All Women's Clothing,Clothing, Shoes & Jewelry,Clothing",,26.99,26.99,FALSE,USD
4434,AVpfQEaTLJeJML435k9w,Dearfoams,"Shoes,Women's Shoes,Clothing,All Women's Shoes","Aubergine,Blue Topaz,Black,French Taupe",21.95,21.95,TRUE,USD
4435,AVpfQEaTLJeJML435k9w,Dearfoams,"Shoes,Women's Shoes,Clothing,All Women's Shoes","Aubergine,Blue Topaz,Black,French Taupe",28,28,FALSE,USD
4436,AVpe5cFGLJeJML43xyJR,"Arus Marketing, Inc.","Women's Clothing,Women's Sleepwear,All Women's Clothing,Clothing, Shoes & Jewelry,Women's Sleepwear & Robes,Clothing,Intimates & Sleepwear",Ivory,79.99,79.99,FALSE,USD
4437,AVpe5cFGLJeJML43xyJR,"Arus Marketing, Inc.","Women's Clothing,Women's Sleepwear,All Women's Clothing,Clothing, Shoes & Jewelry,Women's Sleepwear & Robes,Clothing,Intimates & Sleepwear",Ivory,79.95,79.95,FALSE,USD
4438,AVpfQDHKilAPnD_xYIBa,Thalia Sodi,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Plum,15.99,15.99,FALSE,USD
4439,AVpfFxszilAPnD_xUu4c,K-Swiss,"Athletic,Women,Shoes,Racquet Sports,Clothing, Shoes & Jewelry",WhiteSilver,54.88,66.99,FALSE,USD
4440,AVpfFxszilAPnD_xUu4c,K-Swiss,"Athletic,Women,Shoes,Racquet Sports,Clothing, Shoes & Jewelry",WhiteSilver,36.35,65,FALSE,USD
4441,AVpfAz4eLJeJML430cc1,MCR Safety,"Miscellaneous Supplies,Women's Hats,Bags & Accessories,Clothing, Shoes & Jewelry,Outdoor Tools & Supplies,Women's Accessories,Lawn & Garden",,25.88,25.88,FALSE,USD
4442,AVpfAz4eLJeJML430cc1,MCR Safety,"Miscellaneous Supplies,Women's Hats,Bags & Accessories,Clothing, Shoes & Jewelry,Outdoor Tools & Supplies,Women's Accessories,Lawn & Garden",,19.23,19.23,TRUE,USD
4443,AVpfAz4eLJeJML430cc1,MCR Safety,"Miscellaneous Supplies,Women's Hats,Bags & Accessories,Clothing, Shoes & Jewelry,Outdoor Tools & Supplies,Women's Accessories,Lawn & Garden",,17.85,17.85,TRUE,USD
4444,AVpfAz4eLJeJML430cc1,MCR Safety,"Miscellaneous Supplies,Women's Hats,Bags & Accessories,Clothing, Shoes & Jewelry,Outdoor Tools & Supplies,Women's Accessories,Lawn & Garden",,25,25,FALSE,USD
4445,AVpfAy2WilAPnD_xTAVc,Tahari,"Women's Suits & Sets,Women's Clothing,Petite Clothing,Petite Suits & Sets,All Women's Clothing,Clothing, Shoes & Jewelry,Clothing",Multi-color,320,320,FALSE,USD
4446,AVpfAy2WilAPnD_xTAVc,Tahari,"Women's Suits & Sets,Women's Clothing,Petite Clothing,Petite Suits & Sets,All Women's Clothing,Clothing, Shoes & Jewelry,Clothing",Multi-color,169.99,169.99,TRUE,USD
4447,AVpfAy2WilAPnD_xTAVc,Tahari,"Women's Suits & Sets,Women's Clothing,Petite Clothing,Petite Suits & Sets,All Women's Clothing,Clothing, Shoes & Jewelry,Clothing",Multi-color,160,160,TRUE,USD
4448,AVpfAy2WilAPnD_xTAVc,Tahari,"Women's Suits & Sets,Women's Clothing,Petite Clothing,Petite Suits & Sets,All Women's Clothing,Clothing, Shoes & Jewelry,Clothing",Multi-color,179.99,179.99,TRUE,USD
4449,AVpfA1kqLJeJML430c_m,Ramon Tenza,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Gray,13.99,13.99,TRUE,USD
4450,AVpfA1kqLJeJML430c_m,Ramon Tenza,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Gray,185,185,FALSE,USD
4451,AVpfA-u11cnluZ0-cBq-,Bokos,"Clothing,Shoes,Women's Shoes,All Women's Shoes",,14.13,14.13,TRUE,USD
4452,AVpfA-u11cnluZ0-cBq-,Bokos,"Clothing,Shoes,Women's Shoes,All Women's Shoes",,20.56,20.56,FALSE,USD
4453,AVpfOWXTLJeJML435A81,Rampage,"Shoes,Women's Boots,Clothing,Women's Shoes","Taupe,Cognac",32.99,32.99,FALSE,USD
4454,AVpfA_gT1cnluZ0-cB9g,MUK LUKS,"Women's Slippers,Shoes,Clothing,Women's Shoes",Blue,40,40,FALSE,USD
4455,AVpfA-r3ilAPnD_xTEZ4,,"Athletic,Women,Shoes,Shoes & Handbags",Black,106.54,106.54,FALSE,CAD
4456,AVpfA4PrilAPnD_xTCIg,Bearpaw,"Shoes,Women's Shoes,Clothing,All Women's Shoes","Hickory,Dark Honey",54.4,54.4,FALSE,USD
4457,AVpfA4PrilAPnD_xTCIg,Bearpaw,"Shoes,Women's Shoes,Clothing,All Women's Shoes","Hickory,Dark Honey",53.99,53.99,FALSE,USD
4458,AVpfA4Pi1cnluZ0-b_W6,Coconuts by Matisse,"Women's Casual Shoes,Women's Sandals,Shoes,Clothing, Shoes & Jewelry,Women's Shoes",Tan,38,38,TRUE,USD
4459,AVpfA4Pi1cnluZ0-b_W6,Coconuts by Matisse,"Women's Casual Shoes,Women's Sandals,Shoes,Clothing, Shoes & Jewelry,Women's Shoes",Tan,77,77,FALSE,USD
4460,AVpfA7y3ilAPnD_xTDYL,Karen Scott,"Shoes,Women's Shoes,Clothing,All Women's Shoes",,49,49,FALSE,USD
4461,AVpfA7y3ilAPnD_xTDYL,Karen Scott,"Shoes,Women's Shoes,Clothing,All Women's Shoes",,8.99,8.99,TRUE,USD
4462,AVpfA7y3ilAPnD_xTDYL,Karen Scott,"Shoes,Women's Shoes,Clothing,All Women's Shoes",,20.99,20.99,FALSE,USD
4463,AVpfCRuhLJeJML43099z,Does not apply,"Clothing, Shoes & Accessories,Women's Clothing,Athletic Apparel",,19.99,19.99,FALSE,USD
4464,AVpfCRuhLJeJML43099z,Does not apply,"Clothing, Shoes & Accessories,Women's Clothing,Athletic Apparel",,11.99,11.99,TRUE,USD
4465,AVpfOaG6ilAPnD_xXl02,Pokemon,"Women's Slippers,Shoes,Clothing,Women's Shoes",Yellow,38.98,38.98,FALSE,USD
4466,AVpfOaG6ilAPnD_xXl02,Pokemon,"Women's Slippers,Shoes,Clothing,Women's Shoes",Yellow,29.98,29.98,FALSE,USD
4467,AVpfOaG6ilAPnD_xXl02,Pokemon,"Women's Slippers,Shoes,Clothing,Women's Shoes",Yellow,38.99,38.99,FALSE,USD
4468,AVpfOaG6ilAPnD_xXl02,Pokemon,"Women's Slippers,Shoes,Clothing,Women's Shoes",Yellow,43.99,43.99,FALSE,USD
4469,AVpfA824ilAPnD_xTDuv,Lands' End,"Women's Clothing,Intimates Accessories,All Women's Clothing,Clothing, Shoes & Jewelry,Clothing,Intimates & Sleepwear","Classic Navy Plaid,Clear Blue Plaid,Classic NavyEvergreen Plaid,HunterClassic Navy Plaid,BurgundyGray Plaid",20,20,FALSE,USD
4470,AVpfA9liLJeJML430f0k,,"Athletic,Women,Shoes,Shoes & Handbags","White,Pink,Purple",94.96,94.96,FALSE,CAD
4471,AVpfAuWrLJeJML430ag2,Made in China,"Clothing, Shoes & Accessories,Women's Clothing,Coats & Jackets",,16.95,16.95,FALSE,USD
